Perturbation,ddG_offset,variance
jnk1_lig7>jnk1_lig1,1.534,0.0387
jnk1_lig5>jnk1_lig20,-2.311,0.1535
jnk1_lig3>jnk1_lig7,-1.534,0.0362
jnk1_lig5>jnk1_lig9,-1.122,0.0513
jnk1_lig5>jnk1_lig16,0.51,0.0355
jnk1_lig5>jnk1_lig21,-1.063,0.0523
jnk1_lig2>jnk1_lig17,-1.294,0.046
jnk1_lig5>jnk1_lig2,-1.981,0.0454
jnk1_lig2>jnk1_lig4,-0.926,0.3023
jnk1_lig20>jnk1_lig9,0.656,0.0695
jnk1_lig21>jnk1_lig20,-0.307,0.2807
jnk1_lig16>jnk1_lig6,-0.368,0.0339
jnk1_lig6>jnk1_lig16,-0.105,0.0336
jnk1_lig7>jnk1_lig5,0.917,0.0583
jnk1_lig9>jnk1_lig5,-0.634,0.0518
jnk1_lig1>jnk1_lig18,-0.108,0.0569
jnk1_lig12>jnk1_lig13,0.167,0.0373
jnk1_lig4>jnk1_lig2,0.6,0.3892
jnk1_lig5>jnk1_lig6,-0.474,0.0362
jnk1_lig10>jnk1_lig15,0.318,0.0498
jnk1_lig2>jnk1_lig12,-0.234,0.3057
jnk1_lig14>jnk1_lig8,-2.212,0.0728
jnk1_lig5>jnk1_lig14,-1.239,0.0506
jnk1_lig20>jnk1_lig21,1.569,0.2744
jnk1_lig21>jnk1_lig5,0.037,0.0508
jnk1_lig18>jnk1_lig5,1.269,0.0403
jnk1_lig3>jnk1_lig5,-0.78,0.0383
jnk1_lig2>jnk1_lig19,0.963,0.0381
jnk1_lig1>jnk1_lig7,-0.155,0.039
jnk1_lig12>jnk1_lig2,0.655,0.3004
jnk1_lig5>jnk1_lig7,-0.652,0.0585
jnk1_lig9>jnk1_lig20,-1.866,0.0704
jnk1_lig1>jnk1_lig5,0.498,0.0356
jnk1_lig13>jnk1_lig2,0.156,0.4617
jnk1_lig6>jnk1_lig14,-1.093,0.0364
jnk1_lig18>jnk1_lig1,0.69,0.0556
jnk1_lig2>jnk1_lig11,-0.301,0.1465
jnk1_lig13>jnk1_lig12,-0.72,0.0388
jnk1_lig17>jnk1_lig2,1.169,0.0438
jnk1_lig15>jnk1_lig2,0.13,0.0285
jnk1_lig18>jnk1_lig2,-0.821,0.0361
jnk1_lig2>jnk1_lig18,0.515,0.0367
jnk1_lig5>jnk1_lig18,-1.017,0.0396
jnk1_lig19>jnk1_lig21,-0.493,0.0367
jnk1_lig5>jnk1_lig1,-0.285,0.0356
jnk1_lig2>jnk1_lig5,1.264,0.062
jnk1_lig5>jnk1_lig3,0.016,0.0379
jnk1_lig6>jnk1_lig5,0.232,0.036
jnk1_lig16>jnk1_lig5,-0.221,0.0356
jnk1_lig5>jnk1_lig19,-0.266,0.0357
jnk1_lig14>jnk1_lig5,1.037,0.0509
jnk1_lig14>jnk1_lig6,0.436,0.0358
jnk1_lig2>jnk1_lig15,-0.354,0.0284
jnk1_lig19>jnk1_lig5,0.394,0.0366
jnk1_lig15>jnk1_lig10,-0.497,0.0497
jnk1_lig7>jnk1_lig3,1.768,0.036
jnk1_lig2>jnk1_lig13,-1.496,0.423
jnk1_lig20>jnk1_lig5,2.221,0.1472
jnk1_lig19>jnk1_lig2,-1.005,0.0388
jnk1_lig21>jnk1_lig19,0.712,0.036
jnk1_lig11>jnk1_lig2,0.677,0.1444
jnk1_lig10>jnk1_lig2,0.31,0.0391
jnk1_lig8>jnk1_lig14,1.704,0.0662
jnk1_lig2>jnk1_lig10,-0.319,0.039
