#Ligand,dGexp
ptp1b_lig1,-7.72301857947764
ptp1b_lig2,-8.64628903953511
ptp1b_lig3,-9.11205847715563
ptp1b_lig4,-8.71754822596421
ptp1b_lig5,-7.72301857947764
ptp1b_lig6,-12.4697848806838
ptp1b_lig7,-8.60732535283582
ptp1b_lig8,-10.0065068747035
ptp1b_lig9,-9.8746881466035
ptp1b_lig10,-8.3891313751788
ptp1b_lig11,-9.08323641464599
ptp1b_lig12,-7.75184064198728
ptp1b_lig13,-8.71754822596421
ptp1b_lig14,-11.4230277784695
ptp1b_lig15,-8.85316590670652
ptp1b_lig16,-7.75184064198728
ptp1b_lig17,-11.0135614094467
ptp1b_lig18,-7.34237427296449
ptp1b_lig19,-7.84784627805605
ptp1b_lig20,-9.4138211030936
ptp1b_lig21,-7.75184064198728
ptp1b_lig22,-9.14235922654499
ptp1b_lig23,-10.1250500980544
